kingdom,phylum,class,order,family,genus,species,common_name,binomial,bird,full_code
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,striatus,Sharp-shinned Hawk,Accipiter striatus,TRUE,Accipiter striatus_Sharp-shinned Hawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,superciliosus,Tiny Hawk,Accipiter superciliosus,TRUE,Accipiter superciliosus_Tiny Hawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,tachiro,African Goshawk,Accipiter tachiro,TRUE,Accipiter tachiro_African Goshawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,trinotatus,Spot-tailed Goshawk,Accipiter trinotatus,TRUE,Accipiter trinotatus_Spot-tailed Goshawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,trivirgatus,Crested Goshawk,Accipiter trivirgatus,TRUE,Accipiter trivirgatus_Crested Goshawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,virgatus,Besra,Accipiter virgatus,TRUE,Accipiter virgatus_Besra
Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Aceros,nipalensis,Rufous-necked Hornbill,Aceros nipalensis,TRUE,Aceros nipalensis_Rufous-necked Hornbill
Animalia,Chordata,Aves,Passeriformes,Macrosphenidae,Achaetops,pycnopygius,Rockrunner,Achaetops pycnopygius,TRUE,Achaetops pycnopygius_Rockrunner
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,burmannicus,Vinous-breasted Starling,Acridotheres burmannicus,TRUE,Acridotheres burmannicus_Vinous-breasted Starling
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,cristatellus,Crested Myna,Acridotheres cristatellus,TRUE,Acridotheres cristatellus_Crested Myna
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,fuscus,Jungle Myna,Acridotheres fuscus,TRUE,Acridotheres fuscus_Jungle Myna
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,ginginianus,Bank Myna,Acridotheres ginginianus,TRUE,Acridotheres ginginianus_Bank Myna
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,grandis,Great Myna,Acridotheres grandis,TRUE,Acridotheres grandis_Great Myna
